Question ID,Level,Risk Area,Type,Question Text,Response Type,Required (True/False),TRIGGER LOGIC: This question appears ONLY IF...,Parent Question ID,Parent Must Be Answered,TRIGGERING LOGIC: What happens when answered...,On YES: Action,On YES: Skip/Show Questions,On NO: Action,On NO: Skip/Show Questions,Skip If Conditions,Show If Any Conditions,Comments/Notes
C-01,L1,Qualifying,Qualifying,Select Technology & Application Services to be assessed,free-text,True,Always shown (L1 qualifying question),,,,,,,,,,
C-02,L1,Qualifying,Qualifying,"Will ANY Third Parties be involved i.e will Third-parties be owning, designing, deploying or operating the solution?",Yes/No,True,Always shown (L1 qualifying question),,,YES: Show all L2 questions in Third Party risk area,show_all_questions,,,,,,
C-03,L1,Qualifying,Qualifying,"Will your change or initiative do any of the following: introduce a new process or a new technology product, develop a digital solution or develop software?",Yes/No,True,Always shown (L1 qualifying question),,,YES: Show all L2 questions in Intellectual Property risk area,show_all_questions,,,,,,
C-04,L1,Qualifying,Qualifying,Is your change or initiative going to involve personal data?,Yes/No,True,Always shown (L1 qualifying question),,,YES: Show all L2 questions in Data Privacy risk area,show_all_questions,,,,,,
C-05,L1,Qualifying,Qualifying,Does your change or initiative use AI?,Yes/No,True,Always shown (L1 qualifying question),,,YES: Show all L2 questions in Artificial Intelligence risk area,show_all_questions,,,,,,
C-06,L1,Qualifying,Qualifying,Will your change or initiative involve new vendor systems or integrations with third-party vendors?,Yes/No,True,Always shown (L1 qualifying question),,,YES: Show all L2 questions in Intellectual Property risk area,show_all_questions,,,,,,
TP-01,L2,Third Party,,Vendor Supplier name,free-text,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-02,L2,Third Party,,"Vendor Representative Contract Details (Please Provide Full name, Title and Email address)",free-text,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-03,L2,Third Party,,Vendor Contract name,free-text,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-04,L2,Third Party,,Vendor Contract Start Date,free-text,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-05,L2,Third Party,,Vendor Contract End Date,free-text,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-06,L2,Third Party,,Has the contract or PO being signed with the vendor for this engagement,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-07,L2,Third Party,,Purchasing Area: ( Global Functions ) Please selection this option ONLY if your region is Global Functions,free-text,False,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-08,L2,Third Party,,Contract Application Area ( Global Functions ) Please selection this option ONLY if your region is Global Functions,free-text,False,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-09,L2,Third Party,,Supply Specialist,free-text,False,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-10,L2,Third Party,,Please provide the name of the Application you are onboarding:,free-text,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-11,L2,Third Party,,Description: of the Engagement,free-text,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-12,L2,Third Party,,Select Procurement Category,free-text,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-13,L2,Third Party,,Supplier Web Page,free-text,False,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-14,L2,Third Party,,Will the Vendor's systems be provided with direct access to BHP systems?,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-15,L2,Third Party,,Will the Vendor be providing specialized technologies?,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-16,L2,Third Party,,Will the Vendor be providing technology products / services as part of the engagement?,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-17,L2,Third Party,,Will the Vendor be holding or processing information which is non-personal but Confidential or Highly Confidential?,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-18,L2,Third Party,,Will the Vendor be holding or processing any Sensitive Personal Information?,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-19,L2,Third Party,,Will the Vendor be holding or processing large volumes of BHP Personal Data?,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-20,L2,Third Party,,Will the Vendor be providing a software solution?,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-21,L2,Third Party,,Is the availability of the software solution considered critical? i.e. will availability of the application significantly impact BHP?,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,,,,,
TP-22,L2,Third Party,,If the Vendor will have direct access to BHP systems where will the data be stored:,free-text,False,Question TP-14 is answered 'Yes',TP-14,Yes,,,,,,,,
DP-01,L2,Data Privacy,,Does this project/change/system/process involve monitoring or tracking?,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-02,L2,Data Privacy,,Does this project/change/system/process involve automated decision-making or generative AI?,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,"NO: Skip questions DP-03, DP-04, DP-05",,,skip_questions,"DP-03, DP-04, DP-05",,,
DP-03,L3,Data Privacy,,"What are the personal information or sensitive information which the AI system will use/have used across its lifecycle (including data creation, data acquisition, model development/training, evaluation, deployment, model input and output)?",free-text,True,Question DP-02 is answered 'Yes',DP-02,Yes,,,,,,,,
DP-04,L3,Data Privacy,,Will the AI system be used in a way that could categorise or treat individuals or groups of individuals differently from other groups of individuals?,Yes/No,True,Question DP-02 is answered 'Yes',DP-02,Yes,,,,,,,,
DP-05,L3,Data Privacy,,Who is reviewing the outputs from the AI system/algorithm prior to use?,free-text,True,Question DP-02 is answered 'Yes',DP-02,Yes,,,,,,,,
DP-06,L2,Data Privacy,,Does this project/change/system/process involve a large amount of personal information?,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-07,L2,Data Privacy,,"Does this project/change/system/process involve Personal Information being transferred from the following countries: China, United Kingdom, Brazil?",Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-08,L2,Data Privacy,,Provide a brief summary of the data processing activity and its purpose,free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-09,L2,Data Privacy,,"Can you explain to the public how the project's proposed usage of data is safe, reliable, trustworthy and beneficial to the diverse community and individuals?",free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-10,L2,Data Privacy,,What types of Personal Information will be processed?,free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-11,L2,Data Privacy,,How will the Personal Information be processed (i.e. what will the processing activity involve)?,free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-12,L2,Data Privacy,,How will the Personal Information be collected / sourced?,free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-13,L2,Data Privacy,,Approximately how many Individuals will be affected?,free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-14,L2,Data Privacy,,Where will the affected Individuals be located?,free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-15,L2,Data Privacy,,Where will the people and/or systems doing the processing activity be located?,free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-16,L2,Data Privacy,,Will the data be shared with or processed by third parties?,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-17,L2,Data Privacy,,How are the Individuals being notified about BHP's collection and processing of their Personal Information?,free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-18,L2,Data Privacy,,Are there other options for achieving the change / project objectives that do not involve processing Personal Information?,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,NO: Skip questions DP-19,,,skip_questions,DP-19,,,
DP-19,L2,Data Privacy,,"If YES, why have the other options not been pursued?",free-text,True,Question DP-18 is answered 'Yes',DP-18,Yes,,,,,,,,
DP-20,L2,Data Privacy,,"Check the proposed processing activity is reflected in the Global Privacy Notice for BHP Workers, BHP Workplace Technology Monitoring Notice, Privacy Policy and/or Cookies Policy. Add comments",free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-21,L2,Data Privacy,,Verify that only the minimum amount of relevant Personal Information is being collected and stored. This will include using anonymised and/or aggregated data where possible. Add comments,free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-22,L2,Data Privacy,,New Access Is granted only to approved persons based on business requirement and a need-to-know basis,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-23,L2,Data Privacy,,Access is removed where a person changes roles or leaves the organisation,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-24,L2,Data Privacy,,All access must be reviewed at least quarterly to verify if a person's access to Personal Information is appropriate,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-25,L2,Data Privacy,,Document disposal requirements are implemented in accordance with the relevant data retention schedules,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-26,L2,Data Privacy,,Confirm that mechanisms exist to ensure the Personal Information being processed is accurate and can be kept up to date.,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-27,L2,Data Privacy,,Verify the Technology Security Assessment (TSA) process has been initiated or completed and is up-to-date to ensure technical safeguards are in place to protect Personal Information,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-28,L2,Data Privacy,,"Controls are implemented for non-production (test) data.Personal Information fields and are hashed, masked, replaced or obfuscated in Test and/or Development environments.",Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-29,L2,Data Privacy,,Testing performed to ensure technology solutions operate as intended (see help text),Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-30,L2,Data Privacy,,"Verify that information handling requirements are implemented to classify and protect Personal Information including the requirements for creating, printing, sending, storing, and deleting (physical and electronic) information.",Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
DP-31,L2,Data Privacy,,Confirm with your Procurement/Supply contact that a Data Security and Privacy Addendum (DSPA) is included/appended to the contract between BHP and the third party vendor,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,,,,,
AI-01,L2,Artificial Intelligence,,Select the Business Application to be assessed,free-text,True,L1 qualifying question activates Artificial Intelligence risk area,,,,,,,,,,
AI-02,L2,Artificial Intelligence,,Business Application Owner,free-text,True,L1 qualifying question activates Artificial Intelligence risk area,,,,,,,,,,
AI-03,L2,Artificial Intelligence,,Technology Application Owner,free-text,True,L1 qualifying question activates Artificial Intelligence risk area,,,,,,,,,,
AI-04,L2,Artificial Intelligence,,Application Description,free-text,True,L1 qualifying question activates Artificial Intelligence risk area,,,,,,,,,,
AI-05,L2,Artificial Intelligence,,Objective - What is the main goal or function of the AI system? Describe the problem it aims to solve or the task it is designed to perform.,free-text,True,L1 qualifying question activates Artificial Intelligence risk area,,,,,,,,,,
AI-06,L2,Artificial Intelligence,,Scope - Who are the intended users of the AI system? Specify the target audience or user base.,free-text,True,L1 qualifying question activates Artificial Intelligence risk area,,,,,,,,,,
AI-07,L2,Artificial Intelligence,,Context - In what environment or setting will the AI system be deployed? Mention any specific conditions or scenarios where the system will be used.,free-text,True,L1 qualifying question activates Artificial Intelligence risk area,,,,,,,,,,
AI-08,L2,Artificial Intelligence,,Expected outcomes - what are the anticipated benefits or results of using the AI System,free-text,True,L1 qualifying question activates Artificial Intelligence risk area,,,,,,,,,,
AI-09,L2,Artificial Intelligence,,Is there the potential for your system to perpetuate or amplify societal biases?,Yes/No,True,L1 qualifying question activates Artificial Intelligence risk area,,,NO: Skip questions AI-10,,,skip_questions,AI-10,,,
AI-10,L3,Artificial Intelligence,,What measures are in place to address potential issues related to societal bias?,free-text,True,Question AI-09 is answered 'Yes',AI-09,Yes,,,,,,,,
AI-11,L2,Artificial Intelligence,,Could the AI system have a disproportionate impact on vulnerable groups or exacerbate inequalities?,Yes/No,True,L1 qualifying question activates Artificial Intelligence risk area,,,NO: Skip questions AI-12,,,skip_questions,AI-12,,,
AI-12,L3,Artificial Intelligence,,What measures are in place to prevent disproportionate impacts on vulnerable groups and to promote fairness and equality?,free-text,True,Question AI-11 is answered 'Yes',AI-11,Yes,,,,,,,,
AI-13,L2,Artificial Intelligence,,"Does a third-party vendor of the AI system have access to BHP input data, or the output data associated with BHP's use of the AI system?",Yes/No,True,L1 qualifying question activates Artificial Intelligence risk area,,,"NO: Skip questions AI-14, AI-15",,,skip_questions,"AI-14, AI-15",,,
