Question ID,Level,Risk Area,Type,Question Text,Response Type,Required (True/False),TRIGGER LOGIC: This question appears ONLY IF...,Parent Question ID,Parent Must Be Answered,"TRIGGERING LOGIC: If answered YES, this question triggers...",Questions Triggered by YES,Risk Area Activated by YES,Comments/Notes
C-01,L1,Qualifying,Qualifying,Select Technology & Application Services to be assessed,free-text,True,Always shown (L1 qualifying question),,,,,,
C-02,L1,Qualifying,Qualifying,"Will ANY Third Parties be involved i.e will Third-parties be owning, designing, deploying or operating the solution?",Yes/No,True,Always shown (L1 qualifying question),,,Show all L2 questions in Third Party risk area,,Third Party,
C-03,L1,Qualifying,Qualifying,"Will your change or initiative do any of the following: introduce a new process or a new technology product, develop a digital solution or develop software?",Yes/No,True,Always shown (L1 qualifying question),,,Show all L2 questions in Intellectual Property risk area,,Intellectual Property,
C-04,L1,Qualifying,Qualifying,Is your change or initiative going to involve personal data?,Yes/No,True,Always shown (L1 qualifying question),,,Show all L2 questions in Data Privacy risk area,,Data Privacy,
C-05,L1,Qualifying,Qualifying,Does your change or initiative use AI?,Yes/No,True,Always shown (L1 qualifying question),,,Show all L2 questions in Artificial Intelligence risk area,,Artificial Intelligence,
C-06,L1,Qualifying,Qualifying,Will your change or initiative involve new vendor systems or integrations with third-party vendors?,Yes/No,True,Always shown (L1 qualifying question),,,Show all L2 questions in Intellectual Property risk area,,Intellectual Property,
TP-01,L2,Third Party,,what is the Vendor Supplier name?,free-text,True,L1 qualifying question activates Third Party risk area,,,,,,"Needs to allow for multiple Vendors, Question Set needs to be asked for each Vendor entered"
TP-02,L2,Third Party,,What is the Vendor Contract name?,free-text,True,L1 qualifying question activates Third Party risk area,,,,,,
TP-03,L2,Third Party,,Can you describe the type of the Engagement?',free-text,True,L1 qualifying question activates Third Party risk area,,,,,,
TP-04,L2,Third Party,,What is the Supplier Web Page?,free-text,False,L1 qualifying question activates Third Party risk area,,,,,,
TP-05,L2,Third Party,,Will the Vendor's systems be provided with direct access to BHP systems?,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,
TP-06,L2,Third Party,,Will the Vendor be holding or processing information which is non-personal but Confidential or Highly Confidential?,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,
TP-07,L2,Third Party,,Is the availability of the software solution considered critical? i.e. will availability of the application significantly impact BHP?,Yes/No,True,L1 qualifying question activates Third Party risk area,,,,,,
TP-08,L2,Third Party,,If the Vendor will have direct access to BHP systems where will the data be stored?,free-text,False,L1 qualifying question activates Third Party risk area,,,,,,
DP-01,L2,Data Privacy,,Does this project/change/system/process involve monitoring or tracking?,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,
DP-02,L2,Data Privacy,,Are there other options for achieving the change / project objectives that do not involve processing Personal Information?,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,Shows questions: DP-03,DP-03,,
DP-03,L3,Data Privacy,,"If YES, why have the other options not been pursued?",free-text,True,Question DP-02 is answered 'Yes',DP-02,Yes,,,,
DP-06,L2,Data Privacy,,Does this project/change/system/process involve a large amount of personal information?,Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,
DP-07,L2,Data Privacy,,"Does this project/change/system/process involve Personal Information being transferred from the following countries: China, United Kingdom, Brazil?",Yes/No,True,L1 qualifying question activates Data Privacy risk area,,,,,,
DP-08,L2,Data Privacy,,Provide a brief summary of the data processing activity and its purpose,free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,
DP-09,L2,Data Privacy,,"Can you explain to the public how the project's proposed usage of data is safe, reliable, trustworthy and beneficial to the diverse community and individuals?",free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,
DP-10,L2,Data Privacy,,What types of Personal Information will be processed?,free-text,True,L1 qualifying question activates Data Privacy risk area,,,,,,
AI-04,L2,Artificial Intelligence,,Can you describe the Application?,free-text,True,L1 qualifying question activates Artificial Intelligence risk area,,,,,,
AI-05,L2,Artificial Intelligence,,What is the main goal or function of the AI system? Describe the problem it aims to solve or the task it is designed to perform.,free-text,True,L1 qualifying question activates Artificial Intelligence risk area,,,,,,
AI-06,L2,Artificial Intelligence,,Who are the intended users of the AI system and specify the target audience or user base?,free-text,True,L1 qualifying question activates Artificial Intelligence risk area,,,,,,
AI-09,L2,Artificial Intelligence,,Is there the potential for your system to perpetuate or amplify societal biases?,Yes/No,True,L1 qualifying question activates Artificial Intelligence risk area,,,Shows questions: AI-10,AI-10,,
AI-10,L3,Artificial Intelligence,,What measures are in place to address potential issues related to societal bias?,free-text,True,Question AI-09 is answered 'Yes',AI-09,Yes,,,,
AI-11,L2,Artificial Intelligence,,Could the AI system have a disproportionate impact on vulnerable groups or exacerbate inequalities?,Yes/No,True,L1 qualifying question activates Artificial Intelligence risk area,,,Shows questions: AI-12,AI-12,,
AI-12,L3,Artificial Intelligence,,What measures are in place to prevent disproportionate impacts on vulnerable groups and to promote fairness and equality?,free-text,True,Question AI-11 is answered 'Yes',AI-11,Yes,,,,
IP-01,L2,Intellectual Property,,"My project is developing a new or improved product, method or process (including changing or optimising an existing BHP product, method or process)",Yes/No,False,L1 qualifying question activates Intellectual Property risk area,,,Shows questions: D1 Q 4.01,D1 Q 4.01,,Question response is YES/NO and optional free text box for comments
IP-02,L2,Intellectual Property,,My project is developing software,Yes/No,False,L1 qualifying question activates Intellectual Property risk area,,,Shows questions: C8 Q 3.01,C8 Q 3.01,,Question response is YES/NO and optional free text box for comments
IP-03,L2,Intellectual Property,,"My project will access, consume, process or generate data, or share data with others",Yes/No,False,L1 qualifying question activates Intellectual Property risk area,,,Shows questions: F7 Q 6.01,F7 Q 6.01,,Question response is YES/NO and optional free text box for comments
C8 Q 3.01,L3,Intellectual Property,,Is your Project developing software that may incorporate open source software components?,Yes/No,False,Shown based on parent L2 question,,,"Shows questions: C1 Q 3.02, C4 Q 3.03","C1 Q 3.02, C4 Q 3.03",,Question response is YES/NO and optional free text box for comments
C1 Q 3.02,L3,Intellectual Property,,Do you have a process in place to ensure your team complies with the Technology: Open Source Software Standard?,Yes/No,False,Shown based on parent L2 question,,,,,,Question response is YES/NO and optional free text box for comments
C4 Q 3.03,L3,Intellectual Property,,Are you aware of any open source software components incorporated into the software being developed by your Project that are on the Red or Deny lists on the Technology Standard for Open Source Software?,Yes/No,False,Shown based on parent L2 question,,,Shows questions: C7 Q 3.04,C7 Q 3.04,,Question response is YES/NO and optional free text box for comments
C7 Q 3.04,L3,Intellectual Property,,Do you have all required approvals for any open source software incorporated into software that is being developed in your Project?,Yes/No,False,Shown based on parent L2 question,,,,,,Question response is YES/NO and optional free text box for comments
D1 Q 4.01,L3,Intellectual Property,,"Will your Project create a new product or process, or change a process?",Yes/No,False,Shown based on parent L2 question,,,,,,Question response is YES/NO and optional free text box for comments
D3 Q 4.02,L3,Intellectual Property,,"Is anyone in your Project team aware of any patents covering key items, methods or processes required for your Project (through previous FTO searches or otherwise)?",Yes/No,False,Shown based on parent L2 question,,,Shows questions: D5 Q 4.04,D5 Q 4.04,,Question response is YES/NO and optional free text box for comments
D5 Q 4.04,L3,Intellectual Property,,"As you have identified patents that may be problematic, have you already engaged with Legal to consider the risk and, if necessary, adopted any mitigation strategies to reduce the risk presented by those patents?",Yes/No,False,Shown based on parent L2 question,,,,,,Question response is YES/NO and optional free text box for comments
F7 Q 6.01,L3,Intellectual Property,,Data - Will your Project be a Data Producer or Data Consumer?,Yes/No,False,Shown based on parent L2 question,,,Shows questions: F8 Q 6.02,F8 Q 6.02,,Question response is YES/NO and optional free text box for comments
F8 Q 6.02,L3,Intellectual Property,,"Have you complied with all relevant sections of the Data Global Standard, including in relation to 'Managing and using our Data' and 'Safeguarding our Data'?",Yes/No,False,Shown based on parent L2 question,,,,,,Question response is YES/NO and optional free text box for comments
